,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
11,,,,,3.97751,3.98671,3.99613,3.99714,3.9964,3.99581,3.99391,3.99105,3.98589,3.97362,3.95015,3.91548,3.93276,3.97419,3.97738,3.97208,3.96365,3.95426,3.94153,3.92604,3.90433,3.85161,3.81878,3.79837,3.80838,3.80853,3.81612,3.82512,3.83593,3.83002,3.80346,3.73568,3.68318,3.73777,3.76483,3.75447,3.73863,3.71383,3.65311,3.60998,3.63116,3.59774,3.59012,3.55566,3.51295,3.48395,3.44805,,
12,,,,,3.97271,3.98215,3.99695,3.99777,3.99712,3.99656,3.99472,3.99172,3.98601,3.97131,3.94408,3.90213,3.91469,3.96982,3.97656,3.97163,3.96064,3.94718,3.92868,3.90869,3.87678,3.80274,3.77083,3.76253,3.78415,3.78903,3.79744,3.80636,3.82034,3.80754,3.77956,3.71416,3.66774,3.71894,3.75026,3.74566,3.73192,3.70898,3.64937,3.60877,3.6333,3.60556,3.59614,3.56299,3.52734,3.51991,3.49162,,
13,,,,,3.97271,3.98215,3.99813,3.99823,3.99764,3.99713,3.99545,3.99251,3.98675,3.97078,3.94172,3.8965,3.90309,3.96603,3.97487,3.97046,3.95626,3.93636,3.9105,3.88847,3.8525,3.77624,3.7362,3.74036,3.76706,3.775,3.78421,3.7926,3.80158,3.78181,3.76101,3.69956,3.65661,3.70059,3.73316,3.73327,3.72254,3.70167,3.64563,3.60869,3.63535,3.61126,3.60207,3.57002,3.54254,3.51991,3.49162,,
14,,,,,,,3.99835,3.99854,3.99804,3.99759,3.9961,3.99336,3.98793,3.9718,3.94286,3.89601,3.89986,3.96277,3.97253,3.96862,3.94987,3.9239,3.89251,3.8736,3.8359,3.76191,3.72664,3.72847,3.75581,3.76591,3.77626,3.78382,3.78507,3.75878,3.74557,3.6895,3.64874,3.68495,3.7163,3.71982,3.71205,3.69326,3.64243,3.60997,3.63732,3.61654,3.60789,3.5769,3.55978,,,,
15,,,,,,,3.99854,3.99877,3.99836,3.99797,3.99667,3.99423,3.98947,3.97458,3.94762,3.90083,3.9107,3.96014,3.9696,3.96606,3.94469,3.91455,3.87908,3.86133,3.82316,3.75239,3.72543,3.72358,3.74903,3.76055,3.77214,3.77915,3.77419,3.74175,3.73302,3.68257,3.64346,3.67292,3.70169,3.70728,3.70196,3.6849,3.64021,3.61365,3.63941,3.62151,3.61357,3.58386,3.58736,,,,
16,,,,,,,3.9987,3.99895,3.99861,3.99829,3.99716,3.99505,3.99112,3.97865,3.95484,3.90733,3.92021,3.95789,3.96611,3.96272,3.94255,3.91094,3.87199,3.85198,3.81292,3.74518,3.7274,3.72318,3.74552,3.75777,3.77056,3.77746,3.76799,3.7311,3.72358,3.67798,3.64032,3.66462,3.69064,3.69738,3.69402,3.67777,3.63921,3.61874,3.64159,3.62624,3.61913,3.59062,3.58736,,,,
17,,,,,,,3.99887,3.9991,3.99882,3.99854,3.99757,3.99574,3.99246,3.98173,3.9605,3.91412,3.92808,3.95625,3.96206,3.95843,3.94125,3.91278,3.87134,3.84598,3.80528,3.7402,3.73062,3.72558,3.74438,3.75677,3.77059,3.77783,3.76539,3.72708,3.71759,3.67537,3.63902,3.66029,3.68483,3.69278,3.6913,3.67319,3.63997,3.62367,3.64398,3.63082,3.62457,3.59709,,,,,
18,,,,,,,3.99887,3.99923,3.999,3.99875,3.99791,3.99633,3.99363,3.98421,3.96531,3.92172,3.93482,3.95529,3.95764,3.95396,3.93999,3.91576,3.87599,3.84357,3.80025,3.73708,3.73434,3.72972,3.74494,3.757,3.77163,3.77962,3.7657,3.72787,3.71535,3.67472,3.63938,3.65876,3.68755,3.69598,3.69516,3.67121,3.64289,3.62875,3.64678,3.6353,3.62995,3.60347,,,,,
19,,,,,,,,3.99932,3.99915,3.99893,3.9982,3.99686,3.99472,3.98661,3.97052,3.93154,3.9411,3.95517,3.95377,3.94968,3.9387,3.91866,3.88093,3.84339,3.79752,3.73558,3.73831,3.73499,3.74674,3.7581,3.77327,3.78235,3.76817,3.73156,3.71644,3.67602,3.64136,3.65992,3.69069,3.6995,3.69922,3.67241,3.65007,3.63444,3.6502,3.63976,3.63533,3.60996,,,,,
20,,,,,,,,3.9994,3.99927,3.99907,3.99845,3.99734,3.99576,3.98934,3.9771,3.94573,3.94784,3.95605,3.95078,3.94594,3.93752,3.92141,3.88579,3.84512,3.7971,3.73579,3.74259,3.74109,3.7495,3.75985,3.77526,3.78568,3.77215,3.73708,3.72013,3.67917,3.64501,3.66424,3.69463,3.70348,3.70364,3.68046,3.65555,3.64085,3.65449,3.64433,3.64083,3.61681,,,,,
21,,,,,,,,3.99948,3.99938,3.99919,3.99867,3.99776,3.99668,3.99244,3.98495,3.96537,3.95648,3.95808,3.94886,3.94299,3.9366,3.92405,3.89061,3.8488,3.79946,3.73818,3.74746,3.74806,3.75306,3.76209,3.77751,3.78933,3.7771,3.74373,3.7257,3.68391,3.64992,3.67056,3.6993,3.70801,3.70851,3.68722,3.66158,3.64818,3.65992,3.64916,3.64666,3.62432,,,,,
22,,,,,,,,3.99958,3.99948,3.99928,3.99885,3.99809,3.99732,3.99438,3.98995,3.97777,3.96404,3.96096,3.94805,3.94094,3.93603,3.92669,3.89561,3.855,3.80679,3.74497,3.75374,3.75643,3.75751,3.76478,3.77988,3.79307,3.78253,3.75101,3.73247,3.68996,3.65614,3.67749,3.7049,3.7132,3.71391,3.69427,3.66822,3.65665,3.66688,3.65454,3.65312,3.63293,,,,,
23,,,,,,,,3.99958,3.99948,3.99934,3.99902,3.99837,3.99781,3.99558,3.9928,3.98463,3.97023,3.96474,3.94841,3.93983,3.93591,3.92945,3.90108,3.86504,3.8189,3.75629,3.76264,3.76763,3.76327,3.76802,3.7823,3.79665,3.78805,3.75851,3.73989,3.69705,3.66401,3.68527,3.71163,3.71917,3.71996,3.70168,3.67554,3.66656,3.67593,3.66083,3.66074,3.64342,,,,,
24,,,,,,,,,,3.99941,3.99917,3.99862,3.9982,3.99642,3.99449,3.98844,3.97529,3.96953,3.94997,3.93969,3.9363,3.93244,3.90737,3.88085,3.83413,3.77034,3.77499,3.78523,3.77155,3.77221,3.78483,3.79984,3.79332,3.76592,3.74758,3.70497,3.67487,3.69434,3.71967,3.72604,3.72677,3.70955,3.68361,3.67837,3.68795,3.66867,3.67054,3.6573,,,,,
25,,,,,,,,,,3.99947,3.9993,3.99886,3.99854,3.99709,3.99564,3.99089,3.97967,3.97545,3.9528,3.94055,3.93728,3.93577,3.91506,3.90083,3.85207,3.78625,3.79172,3.81193,3.78283,3.77776,3.78768,3.80257,3.7981,3.77302,3.75524,3.71337,3.68297,3.70429,3.72908,3.73393,3.73444,3.71801,3.69252,3.69286,3.70469,3.67912,3.68493,3.67835,,,,,
26,,,,,,,,,,3.99953,3.99941,3.99906,3.99881,3.99766,3.99653,3.99285,3.98406,3.98246,3.95699,3.94243,3.93889,3.9393,3.92276,3.92115,3.87185,3.8036,3.81385,3.85121,3.79846,3.78548,3.79126,3.80497,3.80228,3.77964,3.7627,3.72208,3.69155,3.71532,3.73996,3.74295,3.74311,3.72717,3.70242,3.71284,3.73397,3.69331,3.71388,3.7213,,,,,
27,,,,,,,,,,3.99959,3.99948,3.99922,3.99903,3.99811,3.99726,3.99461,3.98883,3.98959,3.9625,3.94535,3.94125,3.94317,3.93036,3.93923,3.89243,3.82242,3.84465,3.90302,3.82086,3.79749,3.79631,3.80742,3.8059,3.78573,3.76996,3.73124,3.70073,3.72766,3.75246,3.75318,3.75289,3.73719,3.71337,3.7368,3.73397,3.70054,3.71388,3.7213,,,,,
28,,,,,,,,,,3.99965,3.99954,3.99934,3.99921,3.99846,3.99783,3.99593,3.99197,3.99203,3.97017,3.94955,3.94457,3.94758,3.93798,3.95329,3.91208,3.84236,3.87367,3.94809,3.84563,3.81092,3.80277,3.81034,3.80914,3.79135,3.77712,3.74132,3.7107,3.74161,3.76677,3.76474,3.76394,3.74824,3.72543,3.76748,,3.71148,,,,,,,
